TAMBON_T,AMPHOE_T,CHANGWAT_T,LAT,LONG
เกาะสาหร่าย,เมืองสตูล,สตูล,6.523,99.692
ชนะสงคราม,พระนคร,กรุงเทพมหานคร,13.762,100.495
เกาะพยาม,เมืองระนอง,ระนอง,9.769,98.464
ตลิ่งงาม,เกาะสมุย,สุราษฎร์ธานี,9.314,99.913
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.679,99.681
ราไวย์,เมืองภูเก็ต,ภูเก็ต,7.760,98.392
นาคา,สุขสำราญ,ระนอง,9.514,98.360
สี่แยกมหานาค,ดุสิต,กรุงเทพมหานคร,13.758,100.517
อ่าวลึกน้อย,อ่าวลึก,กระบี่,8.294,98.699
ราไวย์,เมืองภูเก็ต,ภูเก็ต,7.757,98.331
เกาะลันตาน้อย,เกาะลันตา,กระบี่,7.613,99.149
เกาะพระทอง,คุระบุรี,พังงา,9.421,97.830
เกาะหมาก,เกาะกูด,ตราด,11.774,102.392
เกาะสาหร่าย,เมืองสตูล,สตูล,6.698,99.841
ตลิ่งงาม,เกาะสมุย,สุราษฎร์ธานี,9.370,99.977
นาคา,สุขสำราญ,ระนอง,9.569,98.384
คลองประสงค์,เมืองกระบี่,กระบี่,7.972,98.809
บ้านบาตร,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,13.752,100.507
ราไวย์,เมืองภูเก็ต,ภูเก็ต,7.485,98.316
ป่าคลอก,ถลาง,ภูเก็ต,8.060,98.446
ปากน้ำ,เมืองระนอง,ระนอง,9.902,98.512
คลองยาง,เกาะลันตา,กระบี่,7.833,99.020
บ้านพานถม,พระนคร,กรุงเทพมหานคร,13.762,100.503
รัษฎา,เมืองภูเก็ต,ภูเก็ต,7.829,98.415
ปากน้ำ,เมืองระนอง,ระนอง,9.931,98.483
ตลาดน้อย,สัมพันธวงศ์,กรุงเทพมหานคร,13.734,100.513
วัดเทพศิรินทร์,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,13.749,100.512
บางขุนพรหม,พระนคร,กรุงเทพมหานคร,13.765,100.505
บ้านโขด,เมืองชลบุรี,ชลบุรี,13.376,100.990
กำพวน,สุขสำราญ,ระนอง,9.436,98.352
ไม้ฝาด,สิเกา,ตรัง,7.494,99.302
วัดโสมนัส,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,13.759,100.511
แสมสาร,สัตหีบ,ชลบุรี,12.521,100.970
สัมพันธวงศ์,สัมพันธวงศ์,กรุงเทพมหานคร,13.739,100.511
คลองประสงค์,เมืองกระบี่,กระบี่,7.954,98.806
เกาะสาหร่าย,เมืองสตูล,สตูล,6.709,99.894
บวรนิเวศ,พระนคร,กรุงเทพมหานคร,13.757,100.501
สี่พระยา,บางรัก,กรุงเทพมหานคร,13.725,100.514
เกาะแก้ว,เมืองภูเก็ต,ภูเก็ต,7.953,98.451
จักรวรรดิ,สัมพันธวงศ์,กรุงเทพมหานคร,13.741,100.504
เกาะสาหร่าย,เมืองสตูล,สตูล,6.584,99.455
วัดสามพระยา,พระนคร,กรุงเทพมหานคร,13.768,100.499
เขาทอง,เมืองกระบี่,กระบี่,8.079,98.677
สัตหีบ,สัตหีบ,ชลบุรี,12.644,100.889
บางน้ำจืด,หลังสวน,ชุมพร,10.051,99.188
คลองมหานาค,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,13.753,100.513
เกาะสาหร่าย,เมืองสตูล,สตูล,6.564,99.345
ท้องเนียน,ขนอม,นครศรีธรรมราช,9.324,99.775
บางรัก,บางรัก,กรุงเทพมหานคร,13.727,100.527
ป้อมปราบ,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,13.743,100.514
โกรกกราก,เมืองสมุทรสาคร,สมุทรสาคร,13.533,100.276
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.548,99.663
มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร,13.734,100.520
คลองยาง,เกาะลันตา,กระบี่,7.848,99.069
บางหิน,กะเปอร์,ระนอง,9.575,98.515
เกาะพระทอง,คุระบุรี,พังงา,9.371,97.866
เกาะกลาง,เกาะลันตา,กระบี่,7.738,99.126
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.612,99.712
หิรัญรูจี,ธนบุรี,กรุงเทพมหานคร,13.731,100.490
บางชัน,ขลุง,จันทบุรี,12.292,102.239
เกาะสาหร่าย,เมืองสตูล,สตูล,6.714,99.878
ตลิ่งงาม,เกาะสมุย,สุราษฎร์ธานี,9.307,99.961
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.429,99.671
สมเด็จเจ้าพระยา,คลองสาน,กรุงเทพมหานคร,13.731,100.497
ด่านสวี,สวี,ชุมพร,10.254,99.256
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.698,99.675
เกาะพระทอง,คุระบุรี,พังงา,8.593,97.630
วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,13.744,100.499
แสมสาร,สัตหีบ,ชลบุรี,12.586,100.963
มะขามหย่ง,เมืองชลบุรี,ชลบุรี,13.372,100.985
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.658,99.681
วัดกัลยาณ์,ธนบุรี,กรุงเทพมหานคร,13.737,100.493
เกาะพระทอง,คุระบุรี,พังงา,8.673,97.638
สีลม,บางรัก,กรุงเทพมหานคร,13.730,100.525
เกาะลันตาน้อย,เกาะลันตา,กระบี่,7.589,99.144
เกาะศรีบอยา,เหนือคลอง,กระบี่,7.886,99.052
แหลมสัก,อ่าวลึก,กระบี่,8.235,98.642
เกาะสาหร่าย,เมืองสตูล,สตูล,6.683,99.863
คูหาสวรรค์,ภาษีเจริญ,กรุงเทพมหานคร,13.727,100.457
หาดทรายรี,เมืองชุมพร,ชุมพร,10.395,99.345
เสนา,เสนา,พระนครศรีอยุธยา,14.328,100.404
วัดอรุณ,บางกอกใหญ่,กรุงเทพมหานคร,13.743,100.486
ท่าหิน,เมืองลพบุรี,ลพบุรี,14.802,100.611
ตะเสะ,หาดสำราญ,ตรัง,7.047,99.471
เกาะสาหร่าย,เมืองสตูล,สตูล,6.704,99.877
เกาะสาหร่าย,เมืองสตูล,สตูล,6.715,99.810
คลองสาน,คลองสาน,กรุงเทพมหานคร,13.735,100.504
เทศบาลเมืองพระประแดง,พระประแดง,สมุทรปราการ,13.656,100.533
บางแก้ว,เมืองอ่างทอง,อ่างทอง,14.588,100.459
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.649,99.668
เกาะกลาง,เกาะลันตา,กระบี่,7.706,99.117
มักกะสัน,ราชเทวี,กรุงเทพมหานคร,13.752,100.528
สัตหีบ,สัตหีบ,ชลบุรี,12.638,100.871
บางจาก,ภาษีเจริญ,กรุงเทพมหานคร,13.727,100.450
คลองชักพระ,ตลิ่งชัน,กรุงเทพมหานคร,13.760,100.456
นาคา,สุขสำราญ,ระนอง,9.544,98.482
กะมัง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.341,100.581
ปากน้ำ,เมืองระนอง,ระนอง,9.916,98.514
บางหิน,กะเปอร์,ระนอง,9.577,98.485
วชิรพยาบาล,ดุสิต,กรุงเทพมหานคร,13.778,100.505
เกาะสาหร่าย,เมืองสตูล,สตูล,6.567,99.450
รองเมือง,ปทุมวัน,กรุงเทพมหานคร,13.744,100.520
ถนนพญาไท,ราชเทวี,กรุงเทพมหานคร,13.757,100.538
อาเนาะรู,เมืองปัตตานี,ปัตตานี,6.870,101.256
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.469,99.670
ตลาดหลวง,เมืองอ่างทอง,อ่างทอง,14.592,100.453
บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,13.720,100.482
แสมสาร,สัตหีบ,ชลบุรี,12.520,100.956
พระสิงห์,เมืองเชียงใหม่,เชียงใหม่,18.785,98.985
อ่าวนาง,เมืองกระบี่,กระบี่,7.681,98.768
คลองขนาน,เหนือคลอง,กระบี่,7.941,99.072
เกาะสาหร่าย,เมืองสตูล,สตูล,6.699,99.909
จะบังติกอ,เมืองปัตตานี,ปัตตานี,6.857,101.251
วัดสิงห์,วัดสิงห์,ชัยนาท,15.263,100.041
วังใหม่,ปทุมวัน,กรุงเทพมหานคร,13.742,100.526
หอรัตนไชย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.354,100.578
ศิริราช,บางกอกน้อย,กรุงเทพมหานคร,13.759,100.481
ท่าวาสุกรี,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.361,100.552
หลังสวน,หลังสวน,ชุมพร,9.950,99.090
หายยา,เมืองเชียงใหม่,เชียงใหม่,18.777,98.984
วัดพระยาไกร,บางคอแหลม,กรุงเทพมหานคร,13.706,100.508
โสนลอย,บางบัวทอง,นนทบุรี,13.914,100.422
ราไวย์,เมืองภูเก็ต,ภูเก็ต,7.517,98.331
บางหิน,กะเปอร์,ระนอง,9.580,98.466
เกาะพระทอง,คุระบุรี,พังงา,8.565,97.626
กำพวน,สุขสำราญ,ระนอง,9.483,98.377
เกาะกูด,เกาะกูด,ตราด,11.719,102.519
สุริยวงศ์,บางรัก,กรุงเทพมหานคร,13.724,100.530
หาดทรายรี,เมืองชุมพร,ชุมพร,10.439,99.292
พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,13.751,100.492
เกาะพยาม,เมืองระนอง,ระนอง,9.704,98.506
ช้างม่อย,เมืองเชียงใหม่,เชียงใหม่,18.796,98.996
ตลาดพลู,ธนบุรี,กรุงเทพมหานคร,13.715,100.473
เกาะพระทอง,คุระบุรี,พังงา,8.486,97.634
เกาะลันตาใหญ่,เกาะลันตา,กระบี่,7.537,99.127
บางขุนนนท์,บางกอกน้อย,กรุงเทพมหานคร,13.774,100.466
เกาะพระทอง,คุระบุรี,พังงา,8.507,97.632
เกาะลิบง,กันตัง,ตรัง,7.314,99.253
เกาะพระทอง,คุระบุรี,พังงา,9.070,97.812
ปากคลองภาษีเจริญ,ภาษีเจริญ,กรุงเทพมหานคร,13.722,100.464
ภูเขาทอง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.365,100.542
ราไวย์,เมืองภูเก็ต,ภูเก็ต,7.743,98.378
เกาะลันตาน้อย,เกาะลันตา,กระบี่,7.630,99.145
